Time;Fake1;Fake2
10:59;27.299999999999997;35.0
11:06;-46.3;-21.799999999999997
12:56;-9.4;17.6
12:58;-42.3;-40.9
13:00;7.6;-10.8
13:02;12.706666666666669;-20.6
13:04;6.016666666666672;-19.841666666666672
13:06;-28.441666666666666;25.15833333333333
13:08;21.500000000000004;-35.7875
13:10;-27.995833333333337;14.387500000000003
13:12;1.0;-8.0
13:14;7.0;-7.0
13:16;7.0;6.0
13:18;35.0;-42.0
13:20;46.0;-49.0
13:22;51.0;-54.0
13:24;57.0;-69.0
13:26;50.0;-74.0
13:28;47.0;-81.0
13:30;5.0;-93.0
13:32;-1.0;-99.0
13:34;22.0;-79.0
13:36;53.0;-88.0
13:38;38.0;-96.0
13:40;26.0;-92.0
13:42;30.0;-85.0
13:44;-35.0;-36.0
13:46;-50.0;-36.0
13:48;-71.0;-37.0
13:50;-69.0;-19.0
13:52;-61.0;-19.0
13:54;-69.0;-17.0
13:56;-89.0;-18.0
13:58;-115.0;-17.0
14:00;-106.0;-5.0
14:02;-101.0;8.0
14:04;-96.0;1.0
14:06;-70.0;-6.0
14:08;-83.0;-11.0
14:10;-81.0;-27.0
14:12;-86.0;-42.0
14:14;-73.0;-73.0
14:16;-78.0;-72.0
14:18;-109.0;-55.0
14:20;-105.0;-35.0
14:22;-94.0;-49.0
14:24;-80.0;-59.0
14:26;-94.0;-42.0
14:28;-98.0;-45.0
14:30;-91.0;-47.0
14:32;-90.0;-49.0
14:34;-101.0;-60.0
14:36;-98.0;-60.0
14:38;-103.0;-59.0
14:40;-99.0;-45.0
14:42;-119.0;-43.0
14:44;-126.0;-52.0
14:46;-121.0;-62.0
14:48;-102.0;-80.0
14:50;-100.0;-79.0
14:52;-108.0;-75.0
14:54;-94.0;-62.0
14:56;-96.0;-66.0
14:58;-92.0;-77.0
15:00;-72.0;-73.0
15:02;-68.0;-88.0
15:04;-69.0;-78.0
15:06;-62.0;-71.0
15:08;-60.0;-56.0
15:10;-78.0;-30.0
15:12;-89.0;-10.0
15:14;-90.0;4.0
15:16;-80.0;26.0
15:18;-68.0;30.0
15:20;-61.0;39.0
15:22;-48.0;32.0
15:24;-42.0;47.0
15:26;-18.0;65.0
15:28;-14.0;79.0
15:30;-2.0;65.0
15:32;-12.0;59.0
15:34;-18.0;65.0
15:36;-16.0;82.0
15:38;-34.0;84.0
15:40;-17.0;103.0
15:42;-19.0;102.0
15:44;-20.0;107.0
15:46;-21.0;130.0
15:48;-28.0;132.0
15:50;-28.0;115.0
15:52;-30.0;107.0
15:54;-32.0;118.0
15:56;-32.0;135.0
15:58;-42.0;141.0
16:00;-31.0;120.0
16:02;-37.0;113.0
16:04;-52.0;110.0
16:06;-66.0;106.0
16:08;-65.0;112.0
16:10;-47.0;111.0
16:12;-53.0;117.0
16:14;-84.0;126.0
16:16;-102.0;133.0
16:18;-100.0;128.0
16:20;-99.0;116.0
16:22;-116.0;125.0
16:24;-100.0;139.0
